品牌，型号，年份，运输架次，损失事故数，损失货物价值 (元),平均损失 (元/起),损失率 (‰),主要损失类型，次要损失类型，货物类型_医疗占比，货物类型_生鲜占比，货物类型_电子占比，货物类型_快递占比，风险等级
大疆 DJI,FlyCart 30,2023,125000,12,1850000,154167,0.096，坠机，水浸，35,20,25,0，中
大疆 DJI,FlyCart 30,2024,298000,18,2680000,148889,0.060，坠机，迫降，35,20,25,0，中
顺丰，方舟 Ark FH-908,2021,45000,3,280000,93333,0.067，货物掉落，包装破损，30,15,5,45，低
顺丰，方舟 Ark FH-908,2022,125000,6,620000,103333,0.048，迫降，延误，30,15,5,45，低
顺丰，方舟 Ark FH-908,2023,280000,9,980000,108889,0.032，延误，迫降，30,15,5,45，低
顺丰，方舟 Ark FH-908,2024,420000,11,1250000,113636,0.026，延误，温控失效，30,15,5,45，低
美团，无人机 V21,2021,180000,8,420000,52500,0.044，碰撞，包装破损，6,12,8,55，低
美团，无人机 V21,2022,520000,18,980000,54444,0.035，碰撞，延误，6,12,8,55，低
美团，无人机 V21,2023,1250000,28,1580000,56429,0.022，碰撞，延误，6,12,8,55，低
美团，无人机 V21,2024,2100000,35,2050000,58571,0.017，碰撞，延误，6,12,8,55，低
亿航智能，EH216-F,2022,8500,2,580000,290000,0.235，坠机，迫降，40,0,30,0，高
亿航智能，EH216-F,2023,22000,5,1280000,256000,0.227，迫降，坠机，40,0,30,0，高
亿航智能，EH216-F,2024,45000,7,1850000,264286,0.156，迫降，坠机，40,0,30,0，高
峰飞航空，V2000CG,2022,3200,1,280000,280000,0.313，迫降，水浸，45,30,0,0，高
峰飞航空，V2000CG,2023,8500,2,520000,260000,0.235，坠机，水浸，45,30,0,0，高
峰飞航空，V2000CG,2024,18000,3,780000,260000,0.167，迫降，碰撞，45,30,0,0，高
迅蚁，TR7,2021,28000,3,185000,61667,0.107，温控失效，延误，90,0,0,0，中
迅蚁，TR7,2022,65000,5,320000,64000,0.077，温控失效，迫降，90,0,0,0，中
迅蚁，TR7,2023,145000,8,520000,65000,0.055，温控失效，延误，90,0,0,0，中
迅蚁，TR7,2024,235000,10,680000,68000,0.043，温控失效，延误，90,0,0,0，中
京东，JDX-1,2021,52000,4,320000,80000,0.077，包装破损，丢失，5,10,5,50，中
京东，JDX-1,2022,125000,8,680000,85000,0.064，包装破损，延误，5,10,5,50，中
京东，JDX-1,2023,280000,12,1050000,87500,0.043，延误，包装破损，5,10,5,50，中
京东，JDX-1,2024,450000,15,1380000,92000,0.033，延误，包装破损，5,10,5,50，中
小鹏汇天，旅航者 X2-Cargo,2023,12000,3,480000,160000,0.250，迫降，碰撞，20,0,35,0，高
小鹏汇天，旅航者 X2-Cargo,2024,32000,6,920000,153333,0.188，碰撞，迫降，20,0,35,0，高
